matchId,squadId,playerId,period,badHands,badPasses,blocked,blocks,breaks,centrePassReceives,contactPenalties,defensiveRebounds,deflections,feeds,gain,goalAssists,goalAttempts,goalMisses,goals,intercepts,minutesPlayed,missedGoalTurnover,obstructionPenalties,offensiveRebounds,offsides,penalties,pickups,quartersPlayed,rebounds,tossUpWin,turnovers
95630402,801,991899,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,801,991899,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,801,999823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,801,999823,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,801,999823,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,801,999823,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80010,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,15,0,0,0,0,2,0,1,0,0,0
95630402,804,80010,2,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,2,15,0,0,0,0,4,2,1,1,0,0
95630402,804,80010,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,1,1,0,0,0
95630402,804,80010,4,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,15,0,1,0,0,3,0,1,1,0,0
95630402,804,80041,1,2,1,0,0,0,5,0,0,0,4,1,3,0,0,0,1,15,0,0,0,0,0,0,1,0,0,3
95630402,804,80041,2,0,0,0,0,0,1,1,0,0,6,0,4,0,0,0,0,15,0,0,0,0,1,0,1,0,0,0
95630402,804,80041,3,0,0,0,0,0,3,0,0,0,8,0,3,0,0,0,0,15,0,0,0,0,0,2,1,0,0,0
95630402,804,80041,4,0,0,0,0,0,0,2,0,0,12,0,6,0,0,0,0,15,0,0,0,1,2,1,1,0,0,1
95630402,804,80042,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,15,0,0,0,0,1,1,1,1,0,0
95630402,804,80042,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,2,0,0,6,0,1,0,0,0
95630402,804,80042,3,0,0,0,0,0,1,5,2,0,0,2,0,0,0,0,0,15,0,1,0,0,6,0,1,2,0,0
95630402,804,80042,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0
95630402,804,80179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80179,3,0,0,0,0,0,0,0,0,0,3,0,1,5,1,4,0,15,0,0,0,0,0,1,1,0,0,0
95630402,804,80179,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80293,1,0,0,0,0,0,3,0,0,0,1,0,0,6,0,6,0,15,0,2,0,0,2,0,1,0,0,0
95630402,804,80293,2,0,0,1,0,0,8,0,0,0,3,0,2,4,0,4,0,15,0,0,0,0,0,0,1,0,0,0
95630402,804,80293,3,0,0,0,0,0,3,1,0,0,1,0,1,8,2,6,0,15,0,0,0,0,1,0,1,0,0,1
95630402,804,80293,4,0,0,1,0,0,6,1,0,0,2,0,1,4,2,2,0,15,0,0,0,0,1,0,1,0,0,0
95630402,804,80570,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,15,0,0,0,0,0,0,1,0,0,1
95630402,804,80570,2,2,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,15,0,0,1,0,0,0,1,1,0,3
95630402,804,80570,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0
95630402,804,80570,4,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,0,15,0,0,1,0,0,0,1,1,0,1
95630402,804,80577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80577,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80577,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,80577,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0
95630402,804,991901,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,15,0,1,0,1,2,0,1,0,0,0
95630402,804,991901,2,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,15,0,0,0,1,3,0,1,0,0,0
95630402,804,991901,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,1,0,0,1
95630402,804,991901,4,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,1,0,0,1
95630402,804,994213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994213,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994215,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994215,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994224,1,0,0,0,0,0,0,4,0,1,3,0,2,0,0,0,0,15,0,2,0,0,6,0,1,0,0,1
95630402,804,994224,2,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,0,15,0,0,0,0,2,0,1,0,0,1
95630402,804,994224,3,0,0,0,0,0,0,6,0,0,4,0,1,0,0,0,0,15,0,0,0,0,6,0,1,0,0,0
95630402,804,994224,4,0,0,0,0,0,4,2,0,0,3,0,1,0,0,0,0,15,0,0,0,0,2,0,1,0,0,0
95630402,804,994226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994226,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994226,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95630402,804,994226,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
